customer_id,client_NT,Recency,Frequency,Monetary,R,F,M,RFM_Score
07c0815743c908febc32ceea5e863115,Metro c&c,2,1,1263.98,3,1,1,311
0b09c0ec1ae692ccd3a3ab1a099f42fc,Metro c&c,1,5,9059.48,3,3,3,333
0e1a10d57d8b79b8194b1390d9ab8f47,Metro c&c,1,1,5713.57,3,1,2,312
1fb169db35d7228fe24d2250259e52d3,Metro c&c,3,1,10582.98,3,1,3,313
24069aa9916c4219ac6bb598551a3eca,Metro c&c,2,1,19329.01,3,1,3,313
2b1ee22e34d939470597e69499675a48,Metro c&c,1,1,12381.62,3,1,3,313
387f6e72951b4b9b6c4038c39cc42afe,Metro c&c,3,4,9313.2,3,3,3,333
4039adb82d681302e797bf08229823ec,Metro c&c,2,1,24830.29,3,1,3,313
4232079d938446f4484a39d5e3c57ebc,Metro c&c,29,1,47395.74,2,1,3,213
52e175612bb52ef7868c7556484c12f5,Metro c&c,1,1,10184.9,3,1,3,313
56196faeeda283c95bbcf458be921294,Metro c&c,2,1,7530.3,3,1,3,313
5a50ad899245e2e95a1dc63f482a329b,Metro c&c,49,1,18809.88,1,1,3,113
5c38b3e2c4f567bf21763f56a576dd35,Metro c&c,1,2,2565.0,3,2,2,322
60a1925b046f0c4a08b225228b8f1758,Metro c&c,2,1,610.65,3,1,1,311
764b527f92633699086e9409a33b2446,Metro c&c,1,1,15157.0,3,1,3,313
7880769d694039a78a6b7c3edfd04dd0,Metro c&c,3,1,21406.84,3,1,3,313
7dd109436683f683377869f4e92c6da7,Metro c&c,2,1,1627.77,3,1,1,311
7fed8cb0a294d96800de9aff5316d6e4,Metro c&c,1,1,4695.63,3,1,2,312
8124512d5de82a6dc4d014d79668833a,Metro c&c,3,1,4991.56,3,1,2,312
94442f75d0f309fe16d6de1e8e82a662,Metro c&c,42,1,31691.36,1,1,3,113
968d80cdc6a29e80b94ba52b64253a67,Metro c&c,4,1,534.49,3,1,1,311
9a69e4d4aba160d29bf0727d9eaa413a,Metro c&c,3,1,810.33,3,1,1,311
ad7d4dd88a909a370118d074a40da08d,Metro c&c,1,1,879.7,3,1,1,311
af535d1450375970b4e8d1f6c8952c54,Metro c&c,1,7,148052.3,3,3,3,333
e06ad5ed2148761c47bdeb374f2d9710,Metro c&c,18,14,216411.94,2,3,3,233
e119081902944b1aa01ecc4de43418fa,Metro c&c,1,1,2200.16,3,1,2,312
e1ee932d065e2c4b88638b9f69f1550c,Metro c&c,1,1,1642.9,3,1,1,311
e9b01c05ae851906e4462b7afcfac853,Metro c&c,3,1,11573.06,3,1,3,313
ec23e71269999fe34999021d665b2185,Metro c&c,1,1,15781.7,3,1,3,313
ede416c5127554821a83576301c125d9,Metro c&c,1,1,337.9,3,1,1,311
ee467545482ef1c4a60c9e32fe898eb7,Metro c&c,17,1,23102.62,2,1,3,213
ee5cc31807120a6d5a062d5e4ef2d327,Metro c&c,2,1,7574.99,3,1,3,313
f01e32156d5fadbbc3f6d36b70162f7b,Metro c&c,1,1,1025.45,3,1,1,311
f9c74f9af8ea8435d3e3114350f3f54b,Metro c&c,1,1,5218.55,3,1,2,312
fbc6e51db3271dd9439f3dcc213e2353,Metro c&c,1,1,11720.3,3,1,3,313
