"id","created_at","problem_id","user_id","language_id"
1,2021-04-07 06:06:20.000,13,10,3
2,2021-03-31 07:10:06.000,15,13,3
3,2021-04-04 14:55:26.000,1,6,3
4,2021-03-29 21:24:51.000,26,4,3
5,2021-03-30 11:29:12.000,21,18,3
6,2021-04-19 08:07:46.000,23,3,3
7,2021-04-23 12:29:21.000,15,20,3
8,2021-03-29 03:46:24.000,6,9,3
9,2021-04-06 12:14:59.000,24,1,3
10,2021-04-15 11:07:15.000,20,17,3
11,2021-04-01 16:50:29.000,14,2,3
12,2021-04-21 16:53:55.000,22,19,3
13,2021-04-27 12:13:50.000,14,17,3
14,2021-03-31 14:10:57.000,14,3,3
15,2021-04-13 12:34:42.000,30,18,3
16,2021-04-03 09:05:08.000,11,18,3
17,2021-04-20 11:30:30.000,11,6,3
18,2021-04-14 10:46:22.000,14,15,3
19,2021-04-04 18:18:35.000,27,9,3
20,2021-04-15 00:48:19.000,26,8,3
21,2021-04-08 08:45:08.000,7,5,3
22,2021-04-02 22:07:41.000,13,9,3
23,2021-04-18 01:44:20.000,6,1,3
24,2021-03-27 17:55:11.000,13,20,3
25,2021-04-15 23:50:05.000,15,12,3
26,2021-04-26 05:32:52.000,16,16,3
27,2021-04-17 22:43:38.000,6,3,3
28,2021-03-28 02:18:47.000,27,19,3
29,2021-04-22 02:48:37.000,4,10,3
30,2021-04-06 17:18:03.000,26,10,3
31,2021-06-07 13:16:29.799,9,2,3
32,2021-06-07 13:17:10.856,9,2,3
33,2021-06-07 13:17:37.100,9,2,3
34,2021-06-07 13:18:18.870,9,2,3
35,2021-06-07 13:18:40.213,9,2,3
36,2021-06-07 13:19:15.454,9,2,3
37,2021-06-07 13:41:40.324,9,2,3
38,2021-06-07 13:51:05.289,9,2,3
39,2021-06-07 14:37:13.230,9,2,3
40,2021-06-07 14:37:37.205,9,2,3
41,2021-06-07 14:42:35.611,9,2,3
42,2021-06-07 16:18:57.336,9,2,3
43,2021-06-08 12:52:39.512,9,2,3
44,2021-06-08 12:52:56.100,9,2,3
45,2021-06-08 12:56:21.556,9,2,3
46,2021-06-08 12:57:10.596,9,2,3
47,2021-06-08 12:58:07.439,9,2,3
48,2021-06-08 12:58:39.801,9,2,3
49,2021-06-08 12:59:27.119,9,2,3
50,2021-06-08 13:04:28.790,9,2,3
51,2021-06-08 13:05:35.516,9,2,3
52,2021-06-08 13:06:21.822,9,2,3
53,2021-06-08 13:06:36.145,9,2,3
54,2021-06-10 13:05:11.663,9,2,3
55,2021-06-22 14:30:05.313,9,2,3
56,2021-06-22 14:35:51.216,9,2,3
57,2021-06-22 14:36:47.012,9,2,3
58,2021-06-22 14:43:08.461,9,2,3
59,2021-06-22 14:46:11.997,9,2,3
60,2021-06-22 14:48:07.888,9,2,3
61,2021-06-22 14:52:33.646,9,2,3
62,2021-06-22 14:55:20.254,9,2,3
63,2021-06-22 14:57:30.743,9,2,3
64,2021-06-22 15:11:49.780,9,2,3
65,2021-06-22 15:14:46.972,9,2,3
66,2021-06-22 15:17:39.160,9,2,3
67,2021-06-22 15:22:26.205,9,2,3
68,2021-06-22 15:22:45.665,9,2,3
69,2021-06-22 15:27:55.714,9,2,3
70,2021-06-22 15:30:02.396,9,2,3
71,2021-06-22 15:47:43.401,9,2,3
72,2021-06-22 18:57:11.144,9,2,3
73,2021-06-22 18:57:22.922,9,2,3
74,2021-06-22 18:57:30.427,9,2,3
75,2021-06-22 18:57:47.315,9,2,3
76,2021-06-22 18:58:07.296,9,2,3
77,2021-06-22 18:58:25.484,9,2,3
78,2021-06-22 18:59:16.209,9,2,3
79,2021-06-22 19:00:16.847,9,2,3
80,2021-06-22 19:00:27.490,9,2,3
81,2021-06-22 19:00:37.132,9,2,3
82,2021-06-23 15:36:16.819,11,2,3
83,2021-06-23 15:36:20.406,11,2,3
84,2021-06-23 15:47:40.328,11,2,3
85,2021-06-23 15:48:06.674,11,2,3
86,2021-06-23 15:48:37.127,11,2,3
87,2021-06-23 15:49:02.399,11,2,3
88,2021-06-23 15:51:57.019,11,2,3
89,2021-06-23 15:52:14.563,11,2,3
90,2021-06-23 15:52:20.580,11,2,3
91,2021-06-23 15:54:14.915,11,2,3
92,2021-06-23 20:22:22.325,9,2,3
93,2021-06-23 20:25:23.797,9,2,3
94,2021-06-23 20:26:17.156,9,2,3
95,2021-06-23 20:27:50.340,9,2,3
96,2021-06-23 20:34:53.913,9,2,3
